30
0,5,9,1061109567,1,1061109567,16,13,16,1061109567,1061109567,1061109567,1061109567,16,14,15,14,1061109567,16,16,1061109567,5,10,1061109567,1061109567,10,1061109567,1061109567,1061109567,1061109567
16,0,1061109567,20,1061109567,1,1061109567,1061109567,1061109567,1,1061109567,13,14,19,1061109567,8,10,2,7,18,1061109567,1061109567,1061109567,1061109567,10,1061109567,1061109567,1061109567,1061109567,17
1061109567,5,0,13,1061109567,17,1061109567,1061109567,13,1061109567,12,1061109567,1061109567,14,1061109567,1061109567,1061109567,5,20,1061109567,1061109567,1061109567,1061109567,10,1061109567,1061109567,3,1061109567,18,1061109567
1061109567,1061109567,1061109567,0,1061109567,1061109567,9,1061109567,1061109567,5,8,1,1061109567,7,1061109567,1061109567,19,1061109567,1061109567,1061109567,1061109567,3,18,1061109567,8,9,1061109567,1061109567,17,1
6,1061109567,1061109567,1061109567,0,16,1061109567,1061109567,3,1061109567,15,1061109567,1061109567,1061109567,1061109567,1061109567,1061109567,12,1061109567,6,1061109567,1061109567,4,1061109567,18,5,1061109567,1061109567,1061109567,1061109567
20,1061109567,13,1061109567,1061109567,0,1061109567,1061109567,1061109567,1061109567,1061109567,1061109567,1,1061109567,1061109567,1061109567,17,1061109567,1061109567,1061109567,16,17,1061109567,1061109567,1061109567,1061109567,1061109567,1061109567,14,1
1061109567,1061109567,17,1061109567,8,2,0,1061109567,1061109567,1,1061109567,1061109567,1061109567,1061109567,15,1061109567,1061109567,1061109567,1061109567,1061109567,1061109567,1061109567,1061109567,1061109567,1061109567,2,6,1061109567,1061109567,10
1061109567,1061109567,17,1061109567,5,1061109567,1061109567,0,11,1061109567,15,16,16,1061109567,3,1061109567,1061109567,1061109567,1061109567,5,10,6,9,14,14,9,15,1061109567,11,1061109567
4,1061109567,1061109567,15,1061109567,1061109567,14,1061109567,0,1061109567,19,1061109567,1061109567,1061109567,1061109567,6,1061109567,5,7,7,12,13,1061109567,1061109567,1061109567,1061109567,15,1061109567,1061109567,1061109567
1061109567,5,2,13,1,6,16,11,9,0,19,5,1061109567,2,1061109567,1061109567,17,1061109567,1061109567,1061109567,1061109567,1061109567,1061109567,1061109567,4,1061109567,1061109567,15,1061109567,1061109567
11,1061109567,3,18,1061109567,1061109567,1061109567,8,1061109567,5,0,9,1061109567,1061109567,1061109567,17,1061109567,1061109567,1061109567,1061109567,1061109567,3,8,1061109567,8,1061109567,1061109567,1061109567,1061109567,19
1061109567,1061109567,13,1061109567,1061109567,1061109567,1061109567,1061109567,1061109567,1061109567,1061109567,0,1061109567,15,14,8,1061109567,6,19,20,1061109567,1061109567,1061109567,1061109567,1061109567,1,1061109567,1061109567,4,1061109567
1061109567,1061109567,6,1061109567,13,15,1061109567,15,1061109567,1061109567,19,1061109567,0,1061109567,5,1061109567,1061109567,6,1061109567,1061109567,1061109567,13,18,1061109567,11,1061109567,1061109567,1061109567,1061109567,1061109567
9,1061109567,1061109567,1061109567,1061109567,1061109567,14,1,1061109567,1061109567,1061109567,9,1061109567,0,9,20,1061109567,1061109567,18,1061109567,1061109567,1061109567,19,7,1,11,1061109567,17,20,1061109567
1061109567,1061109567,1061109567,7,1061109567,19,19,17,16,1061109567,14,1061109567,1061109567,1061109567,0,1061109567,1061109567,1061109567,8,1061109567,1061109567,10,1061109567,1061109567,1061109567,1061109567,1061109567,1061109567,1061109567,1061109567
8,15,1061109567,1061109567,1061109567,1061109567,1061109567,1061109567,1061109567,1061109567,1061109567,1061109567,14,16,10,0,19,19,1061109567,1061109567,1061109567,1061109567,10,1061109567,12,1061109567,9,1061109567,20,1061109567
1061109567,14,1061109567,18,14,1061109567,1061109567,1061109567,11,1061109567,13,1061109567,1061109567,1061109567,1061109567,1061109567,0,1061109567,5,1061109567,1061109567,10,6,1061109567,13,1061109567,13,1061109567,1061109567,1061109567
1061109567,11,4,1061109567,11,4,1061109567,3,1061109567,5,1061109567,15,3,1061109567,1061109567,1061109567,9,0,1061109567,9,1,1061109567,1061109567,1061109567,3,12,1061109567,2,5,17
10,1061109567,1061109567,16,1061109567,1061109567,1061109567,1061109567,1061109567,1061109567,12,9,1061109567,10,1061109567,1061109567,1061109567,1061109567,0,15,1061109567,16,18,1061109567,3,10,1061109567,1061109567,12,2
1061109567,1061109567,1061109567,1061109567,1061109567,1061109567,1061109567,1061109567,1061109567,1061109567,1061109567,1061109567,1061109567,1061109567,1061109567,13,1061109567,1061109567,1061109567,0,1061109567,17,1061109567,1061109567,1061109567,1061109567,1061109567,1061109567,1061109567,1061109567
